MES,R$SIM2,R$SIM30,Economia_R$,Economia_%
JAN,1128292.66,902484.74,225807.92,20.013
FEV,1195764.83,926381.94,269382.89,22.528
MAR,1273832.45,985073.14,288759.31,22.669
ABR,1015371.32,783727.4,231643.92,22.814
MAI,1051258.3,811386.68,239871.62,22.818
JUN,1144916.86,897920.08,246996.78,21.573
JUL,1189511.26,901245.36,288265.9,24.234
AGO,1082950.95,845255.92,237695.03,21.949
SET,1031786.29,798847.4,232938.89,22.576
OUT,1058766.29,822384.0,236382.29,22.326
NOV,1163254.84,870518.74,292736.1,25.165
DEZ,1154141.31,881135.54,273005.77,23.654
TOTAIS,13489847.359999998,10426360.940000001,3063486.4200000004,22.709570673748537
