Descricao,Valor
kWh fornecido (EnergyMeter kWh),18501008.0
kWh da carga (Zone kWh),16542496.0
Zone losses (Zone Losses kWh),1028324.0
Perdas na linha MT (Line Losses kWh),42011.0
Perdas nos trafos (Transformer Losses kWh),986305.0
Perdas em vazio ferro (No Load Losses kWh),939311.0
Perdas em carga cobre (Transformer - NoLoad) kWh,46994.0
