Mes,Posto,N_pontos_SIM23,Consumo_P_SIM23_kWh,Consumo_Q_SIM23_kVArh,DemandaMax_P_SIM23_kW,DemandaMax_Q_SIM23_kVAr,N_pontos_META
JANEIRO,FORA_PONTA,2712,1577910.593,179052.96415,5032.34,665.1030000000001,2712
JANEIRO,PONTA,264,-2.5875584749999985,18624.408925,0.206818,537.068,264
FEVEREIRO,FORA_PONTA,2448,1636003.9055,185862.716225,5044.56,702.742,2448
FEVEREIRO,PONTA,240,23.161989425000005,19994.852225,100.1419,592.604,240
MARCO,FORA_PONTA,2736,1759606.432,187229.1899,5043.4400000000005,631.177,2736
MARCO,PONTA,240,746.756792875,20346.862075,458.476,473.472,240
ABRIL,FORA_PONTA,2640,1346891.546,121859.716725,3922.2199999999993,377.248,2640
ABRIL,PONTA,240,-1.3165864999999988,13961.414875,0.2255559999999999,418.413,240
MAIO,FORA_PONTA,2724,1408131.036,110129.492825,3923.39,424.255,2724
MAIO,PONTA,252,115.535981675,14019.968075,111.4359,311.56600000000003,252
JUNHO,FORA_PONTA,2640,1580554.46005,96543.2054725,4895.57,304.43600000000004,2640
JUNHO,PONTA,240,908.938782575,13622.44445,267.0628,309.308,240
JULHO,FORA_PONTA,2700,1580402.3,86330.1440025,5035.27,290.0389,2700
JULHO,PONTA,276,2812.04133845,12964.2078,847.835,346.209,276
AGOSTO,FORA_PONTA,2724,1477444.314,91245.33995750001,3923.62,283.7538,2724
AGOSTO,PONTA,252,-0.41087457499999924,13826.9628675,0.216738,338.29,252
SETEMBRO,FORA_PONTA,2616,1379829.60125,99725.96505,3922.57,343.91,2616
SETEMBRO,PONTA,264,-0.8108372999999995,14586.617225,0.201398,319.944,264
OUTUBRO,FORA_PONTA,2700,1424001.757675,119733.5645675,4363.64,468.907,2700
OUTUBRO,PONTA,276,-1.448772349999999,16912.3763,0.234046,422.193,276
NOVEMBRO,FORA_PONTA,2652,1516502.743,139053.5113,5043.06,585.532,2652
NOVEMBRO,PONTA,228,1401.298614115,17296.41875,766.9639999999999,546.309,228
DEZEMBRO,FORA_PONTA,2712,1538742.01325,156386.329325,5042.599999999999,623.708,2712
DEZEMBRO,PONTA,264,854.42146605,20197.426775,574.519,578.234,264
