Descricao,Valor
kWh fornecido (EnergyMeter kWh),18232241.0
kWh da carga (Zone kWh),16537572.0
Zone losses (Zone Losses kWh),983422.0
Perdas na linha MT (Line Losses kWh),36262.0
Perdas nos trafos (Transformer Losses kWh),947143.0
Perdas em vazio ferro (No Load Losses kWh),890847.0
Perdas em carga cobre (Transformer - NoLoad) kWh,56296.0
