MES,R$SIM2,R$SIM21,Economia_R$,Economia_%
JAN,1128292.66,987617.77,140674.89,12.468
FEV,1195764.83,1023275.7,172489.13,14.425
MAR,1273832.45,1088957.43,184875.02,14.513
ABR,1015371.32,873341.35,142029.97,13.988
MAI,1051258.3,909557.21,141701.09,13.479
JUN,1144916.86,1001424.79,143492.07,12.533
JUL,1189511.26,1058164.46,131346.8,11.042
AGO,1082950.95,941190.5,141760.45,13.09
SET,1031786.29,890221.33,141564.96,13.72
OUT,1058766.29,915645.96,143120.33,13.518
NOV,1163254.84,1012921.86,150332.98,12.923
DEZ,1154141.31,984051.24,170090.07,14.737
TOTAIS,13489847.359999998,11686369.6,1803477.76,13.36914875217684
