MES,DMFP (kW),DMP (kW),CFP (kWh),CP (kWh),UFP (kW),UP (kW),DCFP_c (kW),DCP_c (kW),"DCFP (R$32,84)","DCP  (R$83,34)","DCFP_c (R$27,26)","DCP_c  (R$69,17)","UFP  (R$65,68)","UP   (R$166,68)","CFP (R$0,15) TUSD","CP  (R$0,15) TUSD","CFP (R$0,37) TUE","CP  (R$0,59) TUE",R$TOTAL_MES
JAN,4695,671,1417196,8536,0.0,0.0,380.0,774.0,154183.8,55921.14,10358.8,53537.58,0.0,0.0,212579.4,1280.4,524362.52,5036.24,1017259.88
FEV,5398,984,1459590,19870,323.0,0.0,0.0,461.0,177270.32,82006.56,0.0,31887.37,21214.64,0.0,218938.5,2980.5,540048.3,11723.3,1086069.49
MAR,5531,1312,1558548,34401,456.0,0.0,0.0,133.0,181638.04,109342.08,0.0,9199.61,29950.08,0.0,233782.2,5160.15,576662.76,20296.59,1166031.51
ABR,3565,586,1199784,14593,0.0,0.0,1510.0,859.0,117074.6,48837.24,41162.6,59417.03,0.0,0.0,179967.6,2188.95,443920.08,8609.87,901177.97
MAI,3548,995,1251508,20572,0.0,0.0,1527.0,450.0,116516.32,82923.3,41626.02,31126.5,0.0,0.0,187726.2,3085.8,463057.96,12137.48,938199.58
JUN,4466,1137,1397951,34675,0.0,0.0,609.0,308.0,146663.44,94757.58,16601.34,21304.36,0.0,0.0,209692.65,5201.25,517241.87,20458.25,1031920.74
JUL,4701,1669,1404090,23411,0.0,224.0,374.0,0.0,154380.84,139094.46,10195.24,0.0,0.0,37336.32,210613.5,3511.65,519513.3,13812.49,1088457.8
AGO,3859,860,1311708,24053,0.0,0.0,1216.0,585.0,126729.56,71672.4,33148.16,40464.45,0.0,0.0,196756.2,3607.95,485331.96,14191.27,971901.95
SET,3591,565,1230798,16901,0.0,0.0,1484.0,880.0,117928.44,47087.1,40453.84,60869.6,0.0,0.0,184619.7,2535.15,455395.26,9971.59,918860.68
OUT,3980,786,1268534,17864,0.0,0.0,1095.0,659.0,130703.2,65505.24,29849.7,45583.03,0.0,0.0,190280.1,2679.6,469357.58,10539.76,944498.21
NOV,5469,1594,1346448,25900,394.0,149.0,0.0,0.0,179601.96,132843.96,0.0,0.0,25877.92,24835.32,201967.2,3885.0,498185.76,15281.0,1082478.12
DEZ,5377,1418,1371952,20060,302.0,0.0,0.0,27.0,176580.68,118176.12,0.0,1867.59,19835.36,0.0,205792.8,3009.0,507622.24,11835.4,1044719.19
TOTAIS,5531,1669,16218107,260836,,,,,,,,,,,,,,,12191575.12
