MES,R$SIM2,R$SIM20,Economia_R$,Economia_%
JAN,1128292.66,925737.54,202555.12,17.952
FEV,1195764.83,950031.5,245733.33,20.55
MAR,1273832.45,1012611.98,261220.47,20.507
ABR,1015371.32,808931.14,206440.18,20.331
MAI,1051258.3,838646.84,212611.46,20.224
JUN,1144916.86,925091.26,219825.6,19.2
JUL,1189511.26,926378.16,263133.1,22.121
AGO,1082950.95,872934.16,210016.79,19.393
SET,1031786.29,826214.54,205571.75,19.924
OUT,1058766.29,847246.96,211519.33,19.978
NOV,1163254.84,897298.22,265956.62,22.863
DEZ,1154141.31,906976.38,247164.93,21.415
TOTAIS,13489847.359999998,10738098.680000002,2751748.68,20.398664318170614
