MES,DMFP (kW),DMP (kW),CFP (kWh),CP (kWh),UFP (kW),UP (kW),DCFP_c (kW),DCP_c (kW),"DCFP (R$32,84)","DCP  (R$83,34)","DCFP_c (R$27,26)","DCP_c  (R$69,17)","UFP  (R$65,68)","UP   (R$166,68)","CFP (R$0,15) TUSD","CP  (R$0,15) TUSD","CFP (R$0,37) TUE","CP  (R$0,59) TUE",R$TOTAL_MES
JAN,4808.0,755.0,1445999.0,11867,0.0,0.0,392.0,798.0,157894.72,62921.7,10685.92,55197.66,0.0,0.0,216899.85,1780.05,535019.63,7001.53,1047401.06
FEV,5252.0,1076.0,1488336.0,24223,0.0,0.0,0.0,477.0,172475.68,89673.84,0.0,32994.09,0.0,0.0,223250.4,3633.45,550684.32,14291.57,1087003.35
MAR,5252.0,1412.0,1589730.0,39309,0.0,0.0,0.0,141.0,172475.68,117676.08,0.0,9752.97,0.0,0.0,238459.5,5896.35,588200.1,23192.31,1155652.99
ABR,3650.0,668.0,1221646.0,18766,0.0,0.0,1550.0,885.0,119866.0,55671.12,42253.0,61215.45,0.0,0.0,183246.9,2814.9,452009.02,11071.94,928148.33
MAI,3612.0,1088.0,1274658.0,25110,0.0,0.0,1588.0,465.0,118618.08,90673.92,43288.88,32164.05,0.0,0.0,191198.7,3766.5,471623.46,14814.9,966148.49
JUN,4574.0,1233.0,1424974.0,39373,0.0,0.0,626.0,320.0,150210.16,102758.22,17064.76,22134.4,0.0,0.0,213746.1,5905.95,527240.38,23230.07,1062290.04
JUL,4814.0,1778.0,1430181.0,28030,0.0,225.0,386.0,0.0,158091.76,148178.52,10522.36,0.0,0.0,37503.0,214527.15,4204.5,529166.97,16537.7,1118731.96
AGO,3876.0,949.0,1336785.0,28627,0.0,0.0,1324.0,604.0,127287.84,79089.66,36092.24,41778.68,0.0,0.0,200517.75,4294.05,494610.45,16889.93,1000560.6
SET,3602.0,647.0,1252925.0,21782,0.0,0.0,1598.0,906.0,118289.68,53920.98,43561.48,62668.02,0.0,0.0,187938.75,3267.3,463582.25,12851.38,946079.84
OUT,4075.0,873.0,1292057.0,22515,0.0,0.0,1125.0,680.0,133823.0,72755.82,30667.5,47035.6,0.0,0.0,193808.55,3377.25,478061.09,13283.85,972812.66
NOV,5250.0,1702.0,1373185.0,30053,0.0,149.0,0.0,0.0,172410.0,141844.68,0.0,0.0,0.0,24835.32,205977.75,4507.95,508078.45,17731.27,1075385.42
DEZ,5247.0,1521.0,1399300.0,23582,0.0,0.0,0.0,32.0,172311.48,126760.14,0.0,2213.44,0.0,0.0,209895.0,3537.3,517741.0,13913.38,1046371.74
TOTAIS,5252.0,1778.0,16529776.0,313237,0.0,225.0,1598.0,906.0,1773754.0799999998,1141924.68,234136.13999999998,367154.36,0.0,62338.32,2479466.4000000004,46985.55,6116017.12,184809.83000000002,12406586.48
CTOTAL,,,16843013.0,,,,,,,,,,,,,,,,
R$TOTAL,,,,,,,,,,,,,,,,,,,12406586.48
DCFP,5200.0,,,,,,,,,,,,,,,,,,
DCP,,1553.0,,,,,,,,,,,,,,,,,
KW_TARGET_FP,5200.0,,,,,,,,,,,,,,,,,,
KW_TARGET_LOW_FP,4160.0,,,,,,,,,,,,,,,,,,
