Descricao,Valor
kWh fornecido (EnergyMeter kWh),16695479.0
kWh da carga (Zone kWh),15120851.0
Zone losses (Zone Losses kWh),956611.0
Perdas na linha MT (Line Losses kWh),29325.0
Perdas nos trafos (Transformer Losses kWh),927283.0
Perdas em vazio ferro (No Load Losses kWh),868564.0
Perdas em carga cobre (Transformer - NoLoad) kWh,58719.0
