MES,R$SIM2,R$SIM33,Economia_R$,Economia_%
JAN,1117415.92,874468.09,242947.83,21.742
FEV,1228604.83,961115.75,267489.08,21.772
MAR,1306672.45,1020181.01,286491.44,21.925
ABR,1001741.32,852762.52,148978.8,14.872
MAI,1037628.3,929905.76,107722.54,10.382
JUN,1131286.86,1039164.99,92121.87,8.143
JUL,1178825.34,1060292.57,118532.77,10.055
AGO,1069320.95,941502.18,127818.77,11.953
SET,1018156.29,867355.85,150800.44,14.811
OUT,1045136.29,858030.23,187106.06,17.903
NOV,1196094.84,883720.17,312374.67,26.116
DEZ,1186981.31,903270.37,283710.94,23.902
TOTAIS,13517864.699999997,11191769.49,2326095.21,17.207563928347355
