MES,DMFP (kW),DMP (kW),CFP (kWh),CP (kWh),UFP (kW),UP (kW),DCFP_c (kW),DCP_c (kW),"DCFP (R$32,84)","DCP  (R$83,34)","DCFP_c (R$27,26)","DCP_c  (R$69,17)","UFP  (R$65,68)","UP   (R$166,68)","CFP (R$0,15) TUSD","CP  (R$0,15) TUSD","CFP (R$0,37) TUE","CP  (R$0,59) TUE",R$TOTAL_MES
JAN,5124,1077,1513035,28909,0.0,0.0,426.0,867.0,168272.16,89757.18,11612.76,59970.39,0.0,0.0,226955.25,4336.35,559822.95,17056.31,1137783.35
FEV,5891,1419,1560259,42061,341.0,0.0,0.0,525.0,193460.44,118259.46,0.0,36314.25,22396.88,0.0,234038.85,6309.15,577295.83,24815.99,1212890.85
MAR,6039,1778,1667494,58182,489.0,0.0,0.0,166.0,198320.76,148178.52,0.0,11482.22,32117.52,0.0,250124.1,8727.3,616972.78,34327.38,1300250.58
ABR,3886,983,1275701,36005,0.0,0.0,1664.0,961.0,127616.24,81923.22,45360.64,66472.37,0.0,0.0,191355.15,5400.75,472009.37,21242.95,1011380.69
MAI,3846,1432,1330757,43447,0.0,0.0,1704.0,512.0,126302.64,119342.88,46451.04,35415.04,0.0,0.0,199613.55,6517.05,492380.09,25633.73,1051656.02
JUN,4873,1587,1492816,58122,0.0,0.0,677.0,357.0,160029.32,132260.58,18455.02,24693.69,0.0,0.0,223922.4,8718.3,552341.92,34291.98,1154713.21
JUL,5130,2170,1494843,48387,0.0,226.0,420.0,0.0,168469.2,180847.8,11449.2,0.0,0.0,37669.68,224226.45,7258.05,553091.91,28548.33,1211560.62
AGO,3850,1284,1397158,47307,0.0,0.0,1700.0,660.0,126434.0,107008.56,46342.0,45652.2,0.0,0.0,209573.7,7096.05,516948.46,27911.13,1086966.1
SET,3540,961,1306739,41090,0.0,0.0,2010.0,983.0,116253.6,80089.74,54792.6,67994.11,0.0,0.0,196010.85,6163.5,483493.43,24243.1,1029040.93
OUT,4341,1202,1347843,41913,0.0,0.0,1209.0,742.0,142558.44,100174.68,32957.34,51324.14,0.0,0.0,202176.45,6286.95,498701.91,24728.67,1058908.58
NOV,5971,2087,1437721,47275,421.0,143.0,0.0,0.0,196087.64,173930.58,0.0,0.0,27651.28,23835.24,215658.15,7091.25,531956.77,27892.25,1204103.16
DEZ,5870,1894,1467061,38478,320.0,0.0,0.0,50.0,192770.8,157845.96,0.0,3458.5,21017.6,0.0,220059.15,5771.7,542812.57,22702.02,1166438.3
TOTAIS,6039,2170,17291427,531176,,,,,,,,,,,,,,,13625692.390000002
