Mes,Posto,N_pontos_SIM10,Consumo_P_SIM10_kWh,Consumo_Q_SIM10_kVArh,DemandaMax_P_SIM10_kW,DemandaMax_Q_SIM10_kVAr,N_pontos_META
JANEIRO,FORA_PONTA,2712,1513034.7945,157652.0295,5123.55,636.567,2712
JANEIRO,PONTA,264,28908.70697175,16859.860075,1076.6660000000002,465.87200000000007,264
FEVEREIRO,FORA_PONTA,2448,1560258.594,165782.385025,5891.38,655.129,2448
FEVEREIRO,PONTA,240,42061.2166,17344.90685,1418.649,507.298,240
MARCO,FORA_PONTA,2736,1667494.24475,164083.590025,6038.53,580.916,2736
MARCO,PONTA,240,58181.83425,16566.774775,1777.675,381.239,240
ABRIL,FORA_PONTA,2640,1275701.40475,100505.30342,3886.43,348.40099999999995,2640
ABRIL,PONTA,240,36004.68095,11758.8366,983.112,354.541,240
MAIO,FORA_PONTA,2724,1330757.4205,88041.678905,3846.46,395.551,2724
MAIO,PONTA,252,43446.53525,11317.348425,1431.71,271.2173,252
JUNHO,FORA_PONTA,2640,1492816.274075,75146.2923225,4873.139999999999,275.9972,2640
JUNHO,PONTA,240,58122.216975,9859.088825,1587.196,223.9082,240
JULHO,FORA_PONTA,2700,1494843.0985,64445.8736044,5130.26,261.6102,2700
JULHO,PONTA,276,48386.581125,10064.569475,2169.517,256.0457,276
AGOSTO,FORA_PONTA,2724,1397157.71,69296.42386175,3849.88,255.6667,2724
AGOSTO,PONTA,252,47307.183275,10827.65525,1284.011,299.3107,252
SETEMBRO,FORA_PONTA,2616,1306738.6805,78662.062805,3540.12,314.972,2616
SETEMBRO,PONTA,264,41090.274,12082.820275,960.741,267.8256,264
OUTUBRO,FORA_PONTA,2700,1347842.7851,97897.9546,4340.81,440.215,2700
OUTUBRO,PONTA,276,41912.71988,14328.8069,1201.889,366.058,276
NOVEMBRO,FORA_PONTA,2652,1437721.46075,117149.43205,5970.73,539.54,2652
NOVEMBRO,PONTA,228,47275.19605,14327.2659,2087.118,454.959,228
DEZEMBRO,FORA_PONTA,2712,1467060.97625,134494.1469,5869.95,577.601,2712
DEZEMBRO,PONTA,264,38477.6416845,17710.935025,1894.44,486.616,264
