Mes,Posto,N_pontos_SIM23,Consumo_P_SIM23_kWh,Consumo_Q_SIM23_kVArh,DemandaMax_P_SIM23_kW,DemandaMax_Q_SIM23_kVAr,N_pontos_META
JANEIRO,FORA_PONTA,2712,1576682.9725,179008.905575,4995.349999999999,665.09,2712
JANEIRO,PONTA,264,-2.2249925999999984,18624.382375,0.2295329999999999,537.068,264
FEVEREIRO,FORA_PONTA,2448,1635913.3885000001,185725.276545,5044.29,689.415,2448
FEVEREIRO,PONTA,240,62.410811474999996,19991.39165,152.1095,592.605,240
MARCO,FORA_PONTA,2736,1759950.288,187004.83365000002,5042.88,620.759,2736
MARCO,PONTA,240,1072.783890625,20317.089675,510.498,468.769,240
ABRIL,FORA_PONTA,2640,1345089.271,121774.158125,3922.2199999999993,377.239,2640
ABRIL,PONTA,240,-1.178435374999999,13961.409675,0.207343,418.415,240
MAIO,FORA_PONTA,2724,1407384.131,110098.343025,3923.39,424.244,2724
MAIO,PONTA,252,196.6681704,14012.776825,163.5165,311.56600000000003,252
JUNHO,FORA_PONTA,2640,1578929.93535,96479.044305,4894.91,304.425,2640
JUNHO,PONTA,240,1408.537488825,13578.516425,319.13,309.307,240
JULHO,FORA_PONTA,2700,1578934.89375,86263.3685075,5021.96,290.0269,2700
JULHO,PONTA,276,3248.02273605,12925.57795,899.972,341.602,276
AGOSTO,FORA_PONTA,2724,1476524.82975,91212.0641725,3923.61,283.7444,2724
AGOSTO,PONTA,252,6.957870900000001,13826.372565,15.915500000000002,338.29,252
SETEMBRO,FORA_PONTA,2616,1378917.0195,99695.579225,3922.57,343.899,2616
SETEMBRO,PONTA,264,-0.6408724749999996,14586.611850000001,0.207272,319.944,264
OUTUBRO,FORA_PONTA,2700,1423001.928225,119703.177065,4362.98,468.896,2700
OUTUBRO,PONTA,276,-1.2548534999999994,16912.369375,0.221464,422.194,276
NOVEMBRO,FORA_PONTA,2652,1515709.473,138919.099975,5044.77,577.6759999999999,2652
NOVEMBRO,PONTA,228,1740.62286705,17265.78975,819.0360000000001,541.635,228
DEZEMBRO,FORA_PONTA,2712,1538033.0995,156285.614225,5035.37,613.223,2712
DEZEMBRO,PONTA,264,1120.972987425,20173.497025,626.581,573.5519999999999,264
