Mes,Posto,N_pontos_SIM11,Consumo_P_SIM11_kWh,Consumo_Q_SIM11_kVArh,DemandaMax_P_SIM11_kW,DemandaMax_Q_SIM11_kVAr,N_pontos_META
JANEIRO,FORA_PONTA,2712,1560257.686,169992.90845,5135.639999999999,650.865,2712
JANEIRO,PONTA,264,1290.2871691,18614.824825,366.278,516.977,264
FEVEREIRO,FORA_PONTA,2448,1616204.11275,177678.83344,5903.3,669.3530000000001,2448
FEVEREIRO,PONTA,240,6053.409535475,19830.50615,707.7560000000001,558.19,240
MARCO,FORA_PONTA,2736,1729320.9825,177330.9586,6050.57,594.968,2736
MARCO,PONTA,240,16953.03143115,19491.214500000002,1066.307,431.547,240
ABRIL,FORA_PONTA,2640,1329976.1705,112991.14355,4083.52,362.841,2640
ABRIL,PONTA,240,1429.114564725,14117.367875,272.49060000000003,405.531,240
MAIO,FORA_PONTA,2724,1390085.28275,101130.44595,4252.64,409.9210000000001,2724
MAIO,PONTA,252,4634.35347765,14015.719925,721.056,317.364,252
JUNHO,FORA_PONTA,2640,1552486.1967,87941.6492475,4885.01,306.13800000000003,2640
JUNHO,PONTA,240,18611.4668431,12651.593075,876.233,274.7094,240
JULHO,FORA_PONTA,2700,1551906.47925,77322.41905,5172.11,304.746,2700
JULHO,PONTA,276,12113.289508,12499.73805,1458.371,306.66700000000003,276
AGOSTO,FORA_PONTA,2724,1457201.0875,82427.894965,4592.06,316.086,2724
AGOSTO,PONTA,252,7625.2467082808,13616.9444775,573.382,328.939,252
SETEMBRO,FORA_PONTA,2616,1366134.6840000001,91379.39245,4298.66,329.46000000000004,2616
SETEMBRO,PONTA,264,1148.600356825,14826.778975,250.0166,316.303,264
OUTUBRO,FORA_PONTA,2700,1408876.826425,111007.9586,4352.87,454.578,2700
OUTUBRO,PONTA,276,2654.849108875,17009.332275,491.116,417.151,276
NOVEMBRO,FORA_PONTA,2652,1492919.3175000001,129729.80085,5982.92,553.713,2652
NOVEMBRO,PONTA,228,11592.812054725,16817.939575,1375.893,505.381,228
DEZEMBRO,FORA_PONTA,2712,1515468.3085,146908.831075,5881.98,591.855,2712
DEZEMBRO,PONTA,264,9359.06962275,19671.7543,1183.295,537.137,264
