MES,DMFP (kW),DMP (kW),CFP (kWh),CP (kWh),UFP (kW),UP (kW),DCFP_c (kW),DCP_c (kW),"DCFP (R$32,84)","DCP  (R$83,34)","DCFP_c (R$27,26)","DCP_c  (R$69,17)","UFP  (R$65,68)","UP   (R$166,68)","CFP (R$0,15) TUSD","CP  (R$0,15) TUSD","CFP (R$0,37) TUE","CP  (R$0,59) TUE",R$TOTAL_MES
JAN,5136,366,1560258,1290,0.0,0.0,414.0,844.0,168666.24,30502.44,11285.64,58379.48,0.0,0.0,234038.7,193.5,577295.46,761.1,1081122.56
FEV,5903,708,1616204,6053,353.0,0.0,0.0,502.0,193854.52,59004.72,0.0,34723.34,23185.04,0.0,242430.6,907.95,597995.48,3571.27,1155672.92
MAR,6051,1066,1729321,16953,501.0,0.0,0.0,144.0,198714.84,88840.44,0.0,9960.48,32905.68,0.0,259398.15,2542.95,639848.77,10002.27,1242213.58
ABR,4084,272,1329976,1429,0.0,0.0,1466.0,938.0,134118.56,22668.48,39963.16,64881.46,0.0,0.0,199496.4,214.35,492091.12,843.11,954276.64
MAI,4253,721,1390085,4634,0.0,0.0,1297.0,489.0,139668.52,60088.14,35356.22,33824.13,0.0,0.0,208512.75,695.1,514331.45,2734.06,995210.37
JUN,4885,876,1552486,18611,0.0,0.0,665.0,334.0,160423.4,73005.84,18127.9,23102.78,0.0,0.0,232872.9,2791.65,574419.82,10980.49,1095724.78
JUL,5172,1458,1551906,12113,0.0,248.0,378.0,0.0,169848.48,121509.72,10304.28,0.0,0.0,41336.64,232785.9,1816.95,574205.22,7146.67,1158953.86
AGO,4592,573,1457201,7625,0.0,0.0,958.0,637.0,150801.28,47753.82,26115.08,44061.29,0.0,0.0,218580.15,1143.75,539164.37,4498.75,1032118.49
SET,4299,250,1366135,1149,0.0,0.0,1251.0,960.0,141179.16,20835.0,34102.26,66403.2,0.0,0.0,204920.25,172.35,505469.95,677.91,973760.08
OUT,4353,491,1408877,2655,0.0,0.0,1197.0,719.0,142952.52,40919.94,32630.22,49733.23,0.0,0.0,211331.55,398.25,521284.49,1566.45,1000816.65
NOV,5983,1376,1492919,11593,433.0,166.0,0.0,0.0,196481.72,114675.84,0.0,0.0,28439.44,27668.88,223937.85,1738.95,552380.03,6839.87,1152162.58
DEZ,5882,1183,1515468,9359,332.0,0.0,0.0,27.0,193164.88,98591.22,0.0,1867.59,21805.76,0.0,227320.2,1403.85,560723.16,5521.81,1110398.47
TOTAIS,6051,1458,17970836,93464,,,,,,,,,,,,,,,12952430.98
