Descricao,Valor
kWh fornecido (EnergyMeter kWh),18063771.0
kWh da carga (Zone kWh),16531250.0
Zone losses (Zone Losses kWh),962055.0
Perdas na linha MT (Line Losses kWh),33949.0
Perdas nos trafos (Transformer Losses kWh),928097.0
Perdas em vazio ferro (No Load Losses kWh),866603.0
Perdas em carga cobre (Transformer - NoLoad) kWh,61494.0
