Descricao,Valor
kWh fornecido (EnergyMeter kWh),17241799.0
kWh da carga (Zone kWh),15496850.0
Zone losses (Zone Losses kWh),974841.0
Perdas na linha MT (Line Losses kWh),32212.0
Perdas nos trafos (Transformer Losses kWh),942608.0
Perdas em vazio ferro (No Load Losses kWh),892351.0
Perdas em carga cobre (Transformer - NoLoad) kWh,50257.0
