MES,R$SIM2,R$SIM36,Economia_R$,Economia_%
JAN,1128292.66,697005.41,431287.25,38.225
FEV,1195764.83,813980.73,381784.1,31.928
MAR,1273832.45,869938.39,403894.06,31.707
ABR,1015371.32,750806.31,264565.01,26.056
MAI,1051258.3,859660.54,191597.76,18.226
JUN,1144916.86,969758.46,175158.4,15.299
JUL,1189511.26,982604.32,206906.94,17.394
AGO,1082950.95,854968.06,227982.89,21.052
SET,1031786.29,770619.3,261166.99,25.312
OUT,1058766.29,730605.46,328160.83,30.995
NOV,1163254.84,719007.6,444247.24,38.19
DEZ,1154141.31,751232.51,402908.8,34.91
TOTAIS,13489847.359999998,9770187.09,3719660.2700000005,27.57377582365766
