MES,DMFP (kW),DMP (kW),CFP_rede (kWh),CP_rede (kWh),Inj_FP (kWh),Inj_P (kWh),DemMax_Inj_FP (kW),DemMax_Inj_P (kW),Credito_ini_FP (kWh),Credito_ini_P (kWh),Comp_FP (kWh),Comp_P (kWh),CFP_fat (kWh),CP_fat (kWh),Excedente_FP (kWh),Excedente_P (kWh),Credito_fim_FP (kWh),Credito_fim_P (kWh),UFP (kW),UP (kW),DCFP_c (kW),DCP_c (kW),"DCFP (R$32,84)","DCP  (R$83,34)","DCFP_c (R$27,26)","DCP_c  (R$69,17)","UFP  (R$65,68)","UP   (R$166,68)","CFP_rede (R$0,15) TUSD","CP_rede  (R$0,15) TUSD","Credito_FP (R$0,29) TE","Credito_P  (R$0,46) TE",CFP_fat (R$ TE Liquido),CP_fat  (R$ TE Liquido),R$TOTAL_MES
JAN,2596,1978,592901.0,86309.0,211959.0,60.0,2835,226,0.0,0.0,211959.0,60.0,380942.0,86249.0,0.0,0.0,0.0,0.0,0.0,0.0,2404.0,1022.0,85252.64,164846.52,65533.04,70691.74,0.0,0.0,88935.15,12946.35,61468.11,27.6,157905.26,50894.71,697005.41
FEV,3603,2212,734120.0,96332.0,118297.0,0.0,2919,0,0.0,0.0,118297.0,0.0,615823.0,96332.0,0.0,0.0,0.0,0.0,0.0,0.0,1397.0,788.0,118322.52,184348.08,38082.22,54505.96,0.0,0.0,110118.0,14449.8,34306.13,0.0,237318.27,56835.88,813980.73
MAR,4458,2684,810943.0,115667.0,151943.0,0.0,3065,0,0.0,0.0,151943.0,0.0,659000.0,115667.0,0.0,0.0,0.0,0.0,0.0,0.0,542.0,316.0,146400.72,223684.56,14774.92,21857.72,0.0,0.0,121641.45,17350.05,44063.47,0.0,255985.44,68243.53,869938.39
ABR,2663,2122,649275.0,106637.0,187815.0,0.0,3051,0,0.0,0.0,187815.0,0.0,461460.0,106637.0,0.0,0.0,0.0,0.0,0.0,0.0,2337.0,878.0,87452.92,176847.48,63706.62,60731.26,0.0,0.0,97391.25,15995.55,54466.35,0.0,185765.4,62915.83,750806.31
MAI,3200,2527,796988.0,117057.0,134031.0,0.0,2702,0,0.0,0.0,134031.0,0.0,662957.0,117057.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,473.0,105088.0,210600.18,49068.0,32717.41,0.0,0.0,119548.2,17558.55,38868.99,0.0,256016.57,69063.63,859660.54
JUN,3840,2667,933033.0,126580.0,41781.0,0.0,2512,0,0.0,0.0,41781.0,0.0,891252.0,126580.0,0.0,0.0,0.0,0.0,0.0,0.0,1160.0,333.0,126105.6,222267.78,31621.6,23033.61,0.0,0.0,139954.95,18987.0,12116.49,0.0,333105.72,74682.2,969758.46
JUL,3712,3192,888676.0,128931.0,103286.0,0.0,2751,0,0.0,0.0,103286.0,0.0,785390.0,128931.0,0.0,0.0,0.0,0.0,0.0,192.0,1288.0,0.0,121902.08,266021.28,35110.88,0.0,0.0,32002.56,133301.4,19339.65,29952.94,0.0,298857.18,76069.29,982604.32
AGO,3070,2394,795140.0,120174.0,145852.0,0.0,2851,0,0.0,0.0,145852.0,0.0,649288.0,120174.0,0.0,0.0,0.0,0.0,0.0,0.0,1930.0,606.0,100818.8,199515.96,52611.8,41917.02,0.0,0.0,119271.0,18026.1,42297.08,0.0,251904.72,70902.66,854968.06
SET,2642,2102,670396.0,116919.0,182222.0,0.0,2910,0,0.0,0.0,182222.0,0.0,488174.0,116919.0,0.0,0.0,0.0,0.0,0.0,0.0,2358.0,898.0,86763.28,175180.68,64279.08,62114.66,0.0,0.0,100559.4,17537.85,52844.38,0.0,195202.14,68982.21,770619.3
OUT,2690,2232,600734.0,116170.0,200654.0,0.0,3166,0,0.0,0.0,200654.0,0.0,400080.0,116170.0,0.0,0.0,0.0,0.0,0.0,0.0,2310.0,768.0,88339.6,186014.88,62970.6,53122.56,0.0,0.0,90110.1,17425.5,58189.66,0.0,164081.92,68540.3,730605.46
NOV,3319,2770,579631.0,103422.0,208668.0,0.0,3299,0,0.0,0.0,208668.0,0.0,370963.0,103422.0,0.0,0.0,0.0,0.0,0.0,0.0,1681.0,230.0,108995.96,230851.8,45824.06,15909.1,0.0,0.0,86944.65,15513.3,60513.72,0.0,153949.75,61018.98,719007.6
DEZ,3234,2509,640085.0,101431.0,186398.0,51.0,3101,127,0.0,0.0,186398.0,51.0,453687.0,101380.0,0.0,0.0,0.0,0.0,0.0,0.0,1766.0,491.0,106204.56,209100.06,48141.16,33962.47,0.0,0.0,96012.75,15214.65,54055.42,23.46,182776.03,59820.83,751232.51
TOTAIS,4458,3192,8691922.0,1335629.0,1872906.0,111.0,,,,,1872906.0,111.0,6819016.0,1335518.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,9770187.09
