Mes,Posto,N_pontos_SIM2,Consumo_P_SIM2_kWh,Injecao_P_SIM2_kWh,Consumo_Q_SIM2_kVArh,DemandaMax_P_SIM2_kW,DemandaMax_Inj_SIM2_kW,N_pontos_SIM36,Consumo_P_SIM36_kWh,Injecao_P_SIM36_kWh,Consumo_Q_SIM36_kVArh,DemandaMax_P_SIM36_kW,DemandaMax_Inj_SIM36_kW,N_pontos_META
JANEIRO,FORA_PONTA,2712,1247986.03125,0.0,111081.57335,4601.09,0.0,2712,592901.119346975,211959.49861,206242.55175,2595.998,2834.543,2712
JANEIRO,PONTA,264,106519.01625,0.0,8881.22425,2189.518,0.0,264,86308.968875,59.9083125,14886.0482,1977.623,226.0645,264
FEVEREIRO,FORA_PONTA,2448,1302918.6935,0.0,121155.239031,5293.83,0.0,2448,734119.91867625,118296.75968250001,201390.8671425,3602.68,2918.573,2448
FEVEREIRO,PONTA,240,111067.2575,0.0,9884.754675,2497.443,0.0,240,96331.620075,0.0,15288.573525,2211.83,0.0,240
MARCO,FORA_PONTA,2736,1398718.94925,0.0,117092.46215,5424.81,0.0,2736,810942.519827975,151942.6851825,207239.421425,4458.23,3065.21,2736
MARCO,PONTA,240,125599.891,0.0,9179.0273,2821.215,0.0,240,115666.993975,0.0,14573.66525,2684.318,0.0,240
ABRIL,FORA_PONTA,2640,1046336.75975,0.0,61263.5519619,3488.3900000000003,0.0,2640,649275.43659,187815.34284,142006.425475,2662.963,3051.42,2640
ABRIL,PONTA,240,105623.26225,0.0,4871.96111,2105.641,0.0,240,106636.73725,0.0,10077.74135,2122.391,0.0,240
MAIO,FORA_PONTA,2724,1089969.021,0.0,48919.905416855,3452.44,0.0,2724,796987.94898225,134030.7333225,123630.206825,3199.96,2701.895,2724
MAIO,PONTA,252,115993.521,0.0,4187.1933913,2510.263,0.0,252,117056.97425,0.0,9650.10955,2527.056,0.0,252
JUNHO,FORA_PONTA,2640,1242724.09375,0.0,38102.155019485,4376.42,0.0,2640,933033.4683075,41780.5183525,107540.82845,3839.62,2511.869,2640
JUNHO,PONTA,240,125569.913,0.0,3151.4850875,2650.217,0.0,240,126580.33025,0.0,8341.488225,2667.016,0.0,240
JULHO,FORA_PONTA,2700,1229188.7010000001,0.0,27148.2271470175,4607.84,0.0,2700,888676.4589625,103286.350455,101726.900375,3711.61,2750.991,2700
JULHO,PONTA,276,127765.63075,0.0,2482.835064725,3175.17,0.0,276,128930.554,0.0,8468.7852,3191.62,0.0,276
AGOSTO,FORA_PONTA,2724,1150062.316,0.0,31955.9060229875,3455.62,0.0,2724,795140.3856775,145852.495509625,110163.2738,3070.43,2851.011,2724
AGOSTO,PONTA,252,119110.506175,0.0,3766.06350575,2377.106,0.0,252,120173.647,0.0,9226.68855,2393.919,0.0,252
SETEMBRO,FORA_PONTA,2616,1065787.183,0.0,41289.61118589175,3092.4700000000003,0.0,2616,670395.69748775,182221.678315,121956.43245000001,2641.915,2910.029,2616
SETEMBRO,PONTA,264,117526.443,0.0,4590.8948225,2085.462,0.0,264,116918.6446,0.0,10348.8577,2102.299,0.0,264
OUTUBRO,FORA_PONTA,2700,1096837.493225,0.0,57517.6741775,3897.04,0.0,2700,600733.79709365,200653.90212725,145210.509925,2689.974,3166.29,2700
OUTUBRO,PONTA,276,121921.60075,0.0,6324.1117525,2302.502,0.0,276,116170.22425,0.0,12403.021225,2232.137,0.0,276
NOVEMBRO,FORA_PONTA,2652,1195910.83625,0.0,76081.170921425,5363.5,0.0,2652,579631.211745,208667.933094,168929.976275,3319.09,3298.62,2652
NOVEMBRO,PONTA,228,112115.74475,0.0,7458.345525,3100.21,0.0,228,103422.39600000001,0.0,12484.742275,2769.588,0.0,228
DEZEMBRO,FORA_PONTA,2712,1210240.697,0.0,90455.0494375,5272.67,0.0,2712,640084.566747375,186398.194386,180018.7021,3234.37,3100.74,2712
DEZEMBRO,PONTA,264,114506.35875,0.0,9707.184525,2926.615,0.0,264,101431.220075,51.188975,15571.60445,2508.563,127.3499,264
