MES,R$SIM2,R$SIM11,Economia_R$,Economia_%
JAN,1128292.66,944692.02,183600.64,16.272
FEV,1195764.83,1007708.22,188056.61,15.727
MAR,1273832.45,1085207.07,188625.38,14.808
ABR,1015371.32,832509.74,182861.58,18.009
MAI,1051258.3,865294.4,185963.9,17.69
JUN,1144916.86,954106.0,190810.86,16.666
JUL,1189511.26,1020013.74,169497.52,14.249
AGO,1082950.95,898774.87,184176.08,17.007
SET,1031786.29,852787.54,178998.75,17.348
OUT,1058766.29,869894.18,188872.11,17.839
NOV,1163254.84,1010774.42,152480.42,13.108
DEZ,1154141.31,967477.9,186663.41,16.173
TOTAIS,13489847.359999998,11309240.1,2180607.26,16.16480306860937
