MES,DMFP (kW),DMP (kW),CFP (kWh),CP (kWh),UFP (kW),UP (kW),DCFP_c (kW),DCP_c (kW),"DCFP (R$32,84)","DCP  (R$83,34)","DCFP_c (R$27,26)","DCP_c  (R$69,17)","UFP  (R$65,68)","UP   (R$166,68)","CFP (R$0,15) TUSD","CP  (R$0,15) TUSD","CFP (R$0,37) TUE","CP  (R$0,59) TUE",R$TOTAL_MES
JAN,4601,2190,1247986,106519,0.0,0.0,399.0,810.0,151096.84,182514.6,10876.74,56027.7,0.0,0.0,187197.9,15977.85,461754.82,62846.21,1128292.66
FEV,5294,2497,1302919,111067,294.0,0.0,0.0,503.0,173854.96,208099.98,0.0,34792.51,19309.92,0.0,195437.85,16660.05,482080.03,65529.53,1195764.83
MAR,5425,2821,1398719,125600,425.0,0.0,0.0,179.0,178157.0,235102.14,0.0,12381.43,27914.0,0.0,209807.85,18840.0,517526.03,74104.0,1273832.45
ABR,3488,2106,1046337,105623,0.0,0.0,1512.0,894.0,114545.92,175514.04,41217.12,61837.98,0.0,0.0,156950.55,15843.45,387144.69,62317.57,1015371.32
MAI,3452,2510,1089969,115994,0.0,0.0,1548.0,490.0,113363.68,209183.4,42198.48,33893.3,0.0,0.0,163495.35,17399.1,403288.53,68436.46,1051258.3
JUN,4376,2650,1242724,125570,0.0,0.0,624.0,350.0,143707.84,220851.0,17010.24,24209.5,0.0,0.0,186408.6,18835.5,459807.88,74086.3,1144916.86
JUL,4608,3175,1229189,127766,0.0,175.0,392.0,0.0,151326.72,264604.5,10685.92,0.0,0.0,29169.0,184378.35,19164.9,454799.93,75381.94,1189511.26
AGO,3456,2377,1150062,119111,0.0,0.0,1544.0,623.0,113495.04,198099.18,42089.44,43092.91,0.0,0.0,172509.3,17866.65,425522.94,70275.49,1082950.95
SET,3092,2085,1065787,117526,0.0,0.0,1908.0,915.0,101541.28,173763.9,52012.08,63290.55,0.0,0.0,159868.05,17628.9,394341.19,69340.34,1031786.29
OUT,3897,2303,1096837,121922,0.0,0.0,1103.0,697.0,127977.48,191932.02,30067.78,48211.49,0.0,0.0,164525.55,18288.3,405829.69,71933.98,1058766.29
NOV,5364,3100,1195911,112116,364.0,0.0,0.0,0.0,176153.76,258354.0,0.0,0.0,23907.52,0.0,179386.65,16817.4,442487.07,66148.44,1163254.84
DEZ,5273,2927,1210241,114506,273.0,0.0,0.0,73.0,173165.32,243936.18,0.0,5049.41,17930.64,0.0,181536.15,17175.9,447789.17,67558.54,1154141.31
TOTAIS,5425,3175,14276681,1403320,,,,,,,,,,,,,,,13489847.359999998
