Mes,Posto,N_pontos_SIM2,Consumo_P_SIM2_kWh,Consumo_Q_SIM2_kVArh,DemandaMax_P_SIM2_kW,DemandaMax_Q_SIM2_kVAr,N_pontos_SIM5,Consumo_P_SIM5_kWh,Consumo_Q_SIM5_kVArh,DemandaMax_P_SIM5_kW,DemandaMax_Q_SIM5_kVAr,N_pontos_META
JANEIRO,FORA_PONTA,2712,1247986.03125,111081.57335,4601.09,531.024,2712,1325493.03075,125546.97445,4613.78,545.434,2712
JANEIRO,PONTA,264,106519.01625,8881.22425,2189.518,323.368,264,55386.09475,12684.9189,1413.582,379.977,264
FEVEREIRO,FORA_PONTA,2448,1302918.6935,121155.239031,5293.83,548.232,2448,1372046.3165,134151.98034,5306.91,562.575,2448
FEVEREIRO,PONTA,240,111067.2575,9884.754675,2497.443,360.838,240,64564.3395,13328.012375,1722.2240000000002,417.553,240
MARCO,FORA_PONTA,2736,1398718.94925,117092.46215,5424.81,479.288,2736,1468762.75375,131159.617475,5437.74,493.5,2736
MARCO,PONTA,240,125599.891,9179.0273,2821.215,246.9417,240,79088.58175,12616.876225,2045.805,304.093,240
ABRIL,FORA_PONTA,2640,1046336.75975,61263.5519619,3488.3900000000003,276.1418,2640,1116030.0115,74992.9107094,3501.13,290.6682,2640
ABRIL,PONTA,240,105623.26225,4871.96111,2105.641,223.8575,240,59113.0255,8308.966375,1330.016,280.8211,240
MAIO,FORA_PONTA,2724,1089969.021,48919.905416855,3452.44,318.556,2724,1163617.85025,63213.23547875,3465.19,333.016,2724
MAIO,PONTA,252,115993.521,4187.1933913,2510.263,148.8718,252,67140.28425,7780.656,1733.038,206.3352,252
JUNHO,FORA_PONTA,2640,1242724.09375,38102.155019485,4376.42,208.0672,2640,1311877.599425,51849.6070735,4389.17,222.412,2640
JUNHO,PONTA,240,125569.913,3151.4850875,2650.217,106.1559,240,78998.95475,6535.3939,1873.466,162.6064,240
JULHO,FORA_PONTA,2700,1229188.7010000001,27148.2271470175,4607.84,195.1465,2700,1308308.39625,41735.52230183,4620.58,209.4862,2700
JULHO,PONTA,276,127765.63075,2482.835064725,3175.17,134.29919999999998,276,74243.94525,6403.5835,2397.011,189.0701,276
AGOSTO,FORA_PONTA,2724,1150062.316,31955.9060229875,3455.62,185.3492,2724,1223530.378,46257.504551325,3468.37,199.8317,2724
AGOSTO,PONTA,252,119110.506175,3766.06350575,2377.106,174.1023,252,70385.8316595,7337.0836875,1600.4340000000002,231.2432,252
SETEMBRO,FORA_PONTA,2616,1065787.183,41289.61118589175,3092.4700000000003,245.4364,2616,1140934.457,55308.589993,3105.4,260.0079,2616
SETEMBRO,PONTA,264,117526.443,4590.8948225,2085.462,145.6909,264,66354.54225,8361.80035,1309.915,202.4771,264
OUTUBRO,FORA_PONTA,2700,1096837.493225,57517.6741775,3897.04,357.192,2700,1175923.4826,72074.766895,3909.97,371.664,2700
OUTUBRO,PONTA,276,121921.60075,6324.1117525,2302.502,234.2899,276,68433.85775,10275.723125,1527.147,291.2659,276
NOVEMBRO,FORA_PONTA,2652,1195910.83625,76081.170921425,5363.5,442.332,2652,1263222.15325,89694.8985475,5376.58,456.649,2652
NOVEMBRO,PONTA,228,112115.74475,7458.345525,3100.21,313.14500000000004,228,67926.83425,10720.7937,2323.686,369.343,228
DEZEMBRO,FORA_PONTA,2712,1210240.697,90455.0494375,5272.67,478.684,2712,1285714.85775,104807.655575,5285.639999999999,493.207,2712
DEZEMBRO,PONTA,264,114506.35875,9707.184525,2926.615,342.048,264,63352.4265,13493.781500000001,2150.263,398.414,264
