MES,R$SIM2,R$SIM5,Economia_R$,Economia_%
JAN,1128292.66,1064498.5,63794.16,5.654
FEV,1195764.83,1132261.66,63503.17,5.311
MAR,1273832.45,1210800.2,63032.25,4.948
ABR,1015371.32,950934.9,64436.42,6.346
MAI,1051258.3,987130.27,64128.03,6.1
JUN,1144916.86,1080140.85,64776.01,5.658
JUL,1189511.26,1129947.84,59563.42,5.007
AGO,1082950.95,1018818.68,64132.27,5.922
SET,1031786.29,966750.98,65035.31,6.303
OUT,1058766.29,994050.51,64715.78,6.112
NOV,1163254.84,1122833.94,40420.9,3.475
DEZ,1154141.31,1090468.5,63672.81,5.517
TOTAIS,13489847.359999998,12748636.83,741210.53,5.494580555431875
