MES,DMFP (kW),DMP (kW),CFP (kWh),CP (kWh),UFP (kW),UP (kW),DCFP_c (kW),DCP_c (kW),"DCFP (R$32,84)","DCP  (R$83,34)","DCFP_c (R$27,26)","DCP_c  (R$69,17)","UFP  (R$65,68)","UP   (R$166,68)","CFP (R$0,15) TUSD","CP  (R$0,15) TUSD","CFP (R$0,37) TUE","CP  (R$0,59) TUE",R$TOTAL_MES
JANEIRO,5100.0,2421.0,1378755.0,117587.0,0.0,0.0,450.0,909.0,167484.0,201766.14,12267.0,62875.53,0.0,0.0,206813.25,17638.05,510139.35,69376.33,1248359.65
FEVEREIRO,5869.0,2763.0,1440508.0,122702.0,319.0,0.0,0.0,567.0,192737.96,230268.42,0.0,39219.39,20951.92,0.0,216076.2,18405.3,532987.96,72394.18,1323041.33
MARCO,6015.0,3122.0,1546114.0,138840.0,465.0,0.0,0.0,208.0,197532.6,260187.48,0.0,14387.36,30541.2,0.0,231917.1,20826.0,572062.18,81915.6,1409369.52
ABRIL,3864.0,2328.0,1154940.0,116654.0,0.0,0.0,1686.0,1002.0,126893.76,194015.52,45960.36,69308.34,0.0,0.0,173241.0,17498.1,427327.8,68825.86,1123070.74
MAIO,3824.0,2777.0,1203173.0,128139.0,0.0,0.0,1726.0,553.0,125580.16,231435.18,47050.76,38251.01,0.0,0.0,180475.95,19220.85,445174.01,75602.01,1162789.93
JUNHO,4850.0,2933.0,1373082.0,138811.0,0.0,0.0,700.0,397.0,159274.0,244436.22,19082.0,27460.49,0.0,0.0,205962.3,20821.65,508040.34,81898.49,1266975.49
JULHO,5108.0,3516.0,1357876.0,141152.0,0.0,186.0,442.0,0.0,167746.72,293023.44,12048.92,0.0,0.0,31002.48,203681.4,21172.8,502414.12,83279.68,1314369.56
AGOSTO,3827.0,2629.0,1269913.0,131603.0,0.0,0.0,1723.0,701.0,125678.68,219100.86,46968.98,48488.17,0.0,0.0,190486.95,19740.45,469867.81,77645.77,1197977.67
SETEMBRO,3424.0,2305.0,1176596.0,129809.0,0.0,0.0,2126.0,1025.0,112444.16,192098.7,57954.76,70899.25,0.0,0.0,176489.4,19471.35,435340.52,76587.31,1141285.45
OUTUBRO,4318.0,2546.0,1210871.0,134658.0,0.0,0.0,1232.0,784.0,141803.12,212183.64,33584.32,54229.28,0.0,0.0,181630.65,20198.7,448022.27,79448.22,1171100.2
NOVEMBRO,5947.0,3432.0,1321068.0,123897.0,397.0,0.0,0.0,0.0,195299.48,286022.88,0.0,0.0,26074.96,0.0,198160.2,18584.55,488795.16,73099.23,1286036.46
DEZEMBRO,5847.0,3240.0,1336837.0,126458.0,297.0,0.0,0.0,90.0,192015.48,270021.6,0.0,6225.3,19506.96,0.0,200525.55,18968.7,494629.69,74610.22,1276503.5
TOTAIS,6015.0,3516.0,15769733.0,1550310.0,465.0,186.0,2126.0,1025.0,1904490.1199999996,2834560.08,274917.10000000003,431344.11999999994,97075.03999999998,31002.48,2365459.9499999997,232546.50000000003,5834801.21,914682.8999999999,14920879.5
CTOTAL,,,17320043.0,,,,,,,,,,,,,,,,
R$TOTAL,,,,,,,,,,,,,,,,,,,14920879.5
DCFP,5550.0,,,,,,,,,,,,,,,,,,
DCP,,3330.0,,,,,,,,,,,,,,,,,
