Hora_decimal,P fase A,P fase B,P fase C,Q fase A,Q fase B,Q fase C
4344.0,2.74,-0.73,15.0,-0.98,3.99,-2.1
4344.25,3.04,-0.88,17.3,-1.4,4.45,-2.6
4344.5,2.01,-0.96,17.8,-1.5,4.79,-3.2
4344.75,3.08,-0.6,15.7,-1.4,3.78,-2.1
4345.0,2.93,-0.57,16.6,-1.2,4.0,-2.5
4345.25,2.15,-0.89,16.8,-1.3,4.5,-2.3
4345.5,3.42,-0.92,17.1,-1.1,4.44,-2.3
4345.75,2.8,-0.64,16.3,-1.1,4.13,-2.6
4346.0,2.62,-1.1,17.2,-1.2,4.63,-2.3
4346.25,2.9,-0.82,16.4,-1.1,4.6,-2.4
4346.5,2.75,-0.87,15.4,-1.2,4.23,-2.2
4346.75,3.22,-0.97,17.9,-1.3,5.26,-3.2
4347.0,2.58,-0.99,16.3,-1.1,4.34,-2.1
4347.25,2.97,-1.0,16.9,-1.1,4.75,-2.4
4347.5,3.34,-0.71,15.3,-0.99,4.28,-2.6
4347.75,2.35,-1.2,17.6,-1.3,5.08,-2.4
4348.0,3.25,-0.65,15.4,-0.89,4.1,-2.4
4348.25,2.83,-0.76,15.0,-1.2,4.26,-2.5
4348.5,2.98,-1.1,17.0,-0.86,4.91,-2.4
4348.75,3.33,-0.77,14.4,-0.74,4.13,-2.1
4349.0,2.88,-0.9,16.4,-0.87,4.59,-2.4
4349.25,3.02,-1.0,16.9,-1.1,5.09,-2.7
4349.5,2.59,-1.1,17.3,-0.95,4.97,-2.5
4349.75,2.8,-0.86,16.2,-1.1,4.26,-1.8
4350.0,3.32,-1.0,16.2,-1.2,4.28,-2.1
4350.25,2.17,-0.93,16.6,-1.4,4.55,-2.4
4350.5,3.44,-0.89,15.3,-0.64,3.97,-1.6
4350.75,3.19,-1.0,16.4,-1.5,4.59,-2.4
4351.0,3.04,-0.73,14.9,-1.2,4.0,-2.4
4351.25,3.68,-0.75,16.2,-1.3,4.55,-2.8
4351.5,2.97,-0.5,15.3,-1.3,4.7,-4.1
4351.75,3.04,0.149,13.8,-0.96,4.88,-5.8
4352.0,5.68,0.224,13.6,-1.2,5.28,-7.4
4352.25,6.21,-0.51,15.0,-1.2,4.93,-4.8
4352.5,7.63,0.221,13.6,-1.1,5.48,-7.4
4352.75,7.84,-0.0021,14.4,-1.2,5.26,-6.5
4353.0,8.02,0.742,13.2,-1.4,5.16,-7.2
4353.25,9.69,0.605,13.1,-1.5,5.01,-6.6
4353.5,8.29,0.864,12.3,-1.4,4.95,-7.0
4353.75,9.52,0.863,12.2,-1.4,5.02,-7.3
4354.0,12.3,1.31,11.6,-1.6,4.73,-7.0
4354.25,9.96,1.4,11.5,-1.5,4.74,-7.2
4354.5,10.2,0.566,11.6,-1.4,4.87,-6.3
4354.75,9.11,0.85,11.0,-1.4,4.7,-6.3
4355.0,9.35,0.753,10.9,-1.1,4.78,-6.3
4355.25,10.3,0.95,11.4,-1.3,4.64,-6.3
4355.5,8.32,1.11,11.0,-1.4,4.66,-6.5
4355.75,10.5,0.64,11.3,-0.95,4.83,-6.2
4356.0,11.1,1.01,11.4,-0.78,4.58,-6.0
4356.25,10.5,0.768,11.5,-0.65,4.78,-6.1
4356.5,10.7,1.73,10.4,-0.84,4.44,-6.7
4356.75,10.4,2.01,9.8,-0.77,4.32,-6.9
4357.0,9.52,2.32,9.34,-1.4,4.27,-7.0
4357.25,7.68,2.44,9.32,-1.4,4.25,-7.1
4357.5,8.72,2.7,9.05,-1.3,4.1,-7.2
4357.75,9.47,3.94,7.39,-1.4,3.67,-7.8
4358.0,12.0,4.21,6.79,-1.2,3.56,-8.1
4358.25,10.4,5.11,6.0,-1.1,3.2,-8.4
4358.5,11.2,4.47,7.21,-0.85,3.6,-8.1
4358.75,12.0,4.52,7.08,-0.83,3.36,-7.8
4359.0,12.6,5.04,6.21,-0.6,3.39,-8.6
4359.25,11.0,3.76,8.09,-0.94,3.83,-7.6
4359.5,10.4,3.62,8.02,-0.63,4.15,-7.9
4359.75,7.24,2.6,9.32,-0.41,4.61,-7.7
4360.0,8.13,3.49,8.46,-0.52,4.19,-7.9
4360.25,7.0,2.79,9.5,-0.52,4.55,-7.5
4360.5,5.08,1.7,10.8,-0.73,4.98,-7.0
4360.75,5.53,2.21,10.2,-0.56,4.65,-7.0
4361.0,5.66,0.792,12.4,-0.8,4.9,-6.1
4361.25,5.92,0.431,12.9,-1.1,4.99,-6.0
4361.5,7.56,0.19,12.5,-0.76,4.83,-5.5
4361.75,6.29,0.185,12.6,-0.28,4.77,-5.3
4362.0,5.84,0.098,13.1,-1.0,4.76,-4.9
4362.25,5.38,-0.28,14.4,-1.1,4.96,-4.4
4362.5,4.89,0.0663,14.2,-1.0,4.88,-4.8
4362.75,4.65,-0.032,13.7,-1.0,4.9,-5.1
4363.0,4.47,0.239,13.9,-0.95,4.6,-5.0
4363.25,4.89,-0.12,14.2,-0.82,4.82,-4.9
4363.5,4.71,-0.59,16.2,-0.78,5.24,-3.6
4363.75,3.49,-1.1,17.4,-1.5,5.37,-2.9
4364.0,3.86,-0.86,16.7,-1.5,5.06,-2.9
4364.25,2.9,-1.3,17.7,-1.5,4.98,-1.9
4364.5,3.29,-1.4,16.7,-1.4,4.52,-1.3
4364.75,3.11,-1.4,17.3,-1.1,4.79,-1.3
4365.0,2.33,-1.2,16.7,-1.7,4.68,-1.9
4365.25,3.27,-1.4,16.6,-1.2,4.59,-1.2
4365.5,2.62,-1.4,17.7,-1.3,4.73,-1.4
4365.75,2.95,-0.95,14.7,-1.3,4.16,-1.7
4366.0,3.16,-1.4,17.5,-1.4,5.0,-1.7
4366.25,2.6,-1.9,18.0,-1.3,4.88,-0.81
4366.5,3.09,-1.5,17.7,-1.2,4.8,-1.2
4366.75,3.07,-1.9,18.2,-1.3,5.02,-0.81
4367.0,2.84,-1.8,18.2,-1.3,5.03,-0.81
4367.25,2.95,-1.6,18.1,-1.7,5.05,-1.2
4367.5,2.25,-1.2,16.4,-1.6,4.64,-1.8
4367.75,3.12,-1.2,18.2,-1.5,4.92,-1.8
4368.0,3.26,-1.4,17.0,-1.3,4.44,-0.99
4368.25,2.33,-1.3,18.3,-1.4,4.74,-1.4
4368.5,3.08,-1.3,17.1,-1.3,4.64,-1.5
4368.75,2.73,-1.1,15.7,-1.4,4.29,-1.4
4369.0,2.68,-1.3,17.8,-1.4,4.5,-1.0
4369.25,3.12,-1.4,17.7,-1.4,4.63,-1.2
4369.5,2.58,-1.6,17.9,-1.3,4.96,-1.4
4369.75,3.02,-1.2,16.9,-1.4,4.59,-1.4
4370.0,3.16,-1.4,17.7,-1.4,4.85,-1.5
4370.25,2.39,-1.3,17.8,-1.6,4.99,-1.9
4370.5,3.14,-1.6,17.5,-1.1,4.75,-1.2
4370.75,3.09,-1.3,17.7,-1.5,4.59,-1.4
4371.0,2.42,-1.5,17.4,-1.3,4.59,-1.1
4371.25,3.13,-1.4,18.1,-1.4,4.98,-1.5
