Descricao,Valor
kWh fornecido (EnergyMeter kWh),15004498.0
kWh da carga (Zone kWh),16470409.0
Zone losses (Zone Losses kWh),909566.0
Perdas na linha MT (Line Losses kWh),22775.0
Perdas nos trafos (Transformer Losses kWh),886800.0
Perdas em vazio ferro (No Load Losses kWh),845809.0
Perdas em carga cobre (Transformer - NoLoad) kWh,40991.0
