Mes,Posto,N_pontos_SIM28,Consumo_P_SIM28_kWh,Consumo_Q_SIM28_kVArh,DemandaMax_P_SIM28_kW,DemandaMax_Q_SIM28_kVAr,N_pontos_META
JANEIRO,FORA_PONTA,2712,1477919.21225,163242.35450000002,4134.650000000001,610.625,2712
JANEIRO,PONTA,264,-2.386114124999999,16801.359800000002,0.205394,486.274,264
FEVEREIRO,FORA_PONTA,2448,1530994.4445,170554.715,4140.32,653.991,2448
FEVEREIRO,PONTA,240,-3.1270055249999995,18028.75155,0.223862,536.639,240
MARCO,FORA_PONTA,2736,1643087.81475,171630.9039,4140.83,589.9010000000001,2736
MARCO,PONTA,240,-2.8512570749999986,18327.96215,0.2086319999999999,463.7000000000001,240
ABRIL,FORA_PONTA,2640,1260387.457,110470.101025,3624.04,343.927,2640
ABRIL,PONTA,240,-1.603493749999999,12494.7403,0.196933,377.762,240
MAIO,FORA_PONTA,2724,1312792.26,99285.683875,3623.38,387.178,2724
MAIO,PONTA,252,-2.5342642499999988,12506.655525,0.2369879999999999,280.84849999999994,252
JUNHO,FORA_PONTA,2640,1476422.98235,86760.11124500001,4137.83,274.8886,2640
JUNHO,PONTA,240,-2.3195687749999987,12124.706425,0.254216,275.3884,240
JULHO,FORA_PONTA,2700,1479738.2145,77786.343095,4139.17,262.4876,2700
JULHO,PONTA,276,141.971123925,11693.202325,186.7102,362.506,276
AGOSTO,FORA_PONTA,2724,1379488.7835,81885.35677,3623.8,251.0271,2724
AGOSTO,PONTA,252,-0.8989523499999996,12296.471065,0.203088,303.43,252
SETEMBRO,FORA_PONTA,2616,1290606.3325,89917.03785,3622.59,312.757,2616
SETEMBRO,PONTA,264,-0.9587897999999996,13023.850875,0.201009,286.75120000000004,264
OUTUBRO,FORA_PONTA,2700,1331888.702325,108292.41984,4043.7199999999993,427.194,2700
OUTUBRO,PONTA,276,-1.888207074999999,15152.93165,0.2024,381.832,276
NOVEMBRO,FORA_PONTA,2652,1419927.48475,126908.3809,4139.63,547.848,2652
NOVEMBRO,PONTA,228,25.223468275000002,15636.62435,112.5073,548.028,228
DEZEMBRO,FORA_PONTA,2712,1440055.35775,142832.913325,4139.6900000000005,583.067,2712
DEZEMBRO,PONTA,264,-2.661369049999999,18273.6196,0.1967179999999999,570.901,264
