MES,R$SIM2,R$SIM27,Economia_R$,Economia_%
JAN,1128292.66,917031.3,211261.36,18.724
FEV,1195764.83,948203.9,247560.93,20.703
MAR,1273832.45,1010237.63,263594.82,20.693
ABR,1015371.32,805572.54,209798.78,20.662
MAI,1051258.3,834732.66,216525.64,20.597
JUN,1144916.86,922674.72,222242.14,19.411
JUL,1189511.26,990124.14,199387.12,16.762
AGO,1082950.95,865390.21,217560.74,20.09
SET,1031786.29,818856.98,212929.31,20.637
OUT,1058766.29,842063.2,216703.09,20.468
NOV,1163254.84,941365.5,221889.34,19.075
DEZ,1154141.31,908581.02,245560.29,21.276
TOTAIS,13489847.359999998,10804833.799999999,2685013.5599999996,19.903958053384528
