MES,DMFP (kW),DMP (kW),CFP (kWh),CP (kWh),UFP (kW),UP (kW),DCFP_c (kW),DCP_c (kW),"DCFP (R$32,84)","DCP  (R$83,34)","DCFP_c (R$27,26)","DCP_c  (R$69,17)","UFP  (R$65,68)","UP   (R$166,68)","CFP (R$0,15) TUSD","CP  (R$0,15) TUSD","CFP (R$0,37) TUE","CP  (R$0,59) TUE",R$TOTAL_MES
JAN,4020,0,1429836,-3,0.0,0.0,0.0,600.0,132016.8,0.0,0.0,41502.0,0.0,0.0,214475.4,-0.45,529039.32,-1.77,917031.3
FEV,4040,172,1483671,111,0.0,0.0,0.0,428.0,132673.6,14334.48,0.0,29604.76,0.0,0.0,222550.65,16.65,548958.27,65.49,948203.9
MAR,4039,495,1592647,1222,0.0,0.0,0.0,105.0,132640.76,41253.3,0.0,7262.85,0.0,0.0,238897.05,183.3,589279.39,720.98,1010237.63
ABR,3534,0,1221753,-1,0.0,0.0,466.0,600.0,116056.56,0.0,12703.16,41502.0,0.0,0.0,183262.95,-0.15,452048.61,-0.59,805572.54
MAI,3531,184,1272494,248,0.0,0.0,469.0,416.0,115958.04,15334.56,12784.94,28774.72,0.0,0.0,190874.1,37.2,470822.78,146.32,834732.66
JUN,4038,324,1428271,1720,0.0,0.0,0.0,276.0,132607.92,27002.16,0.0,19090.92,0.0,0.0,214240.65,258.0,528460.27,1014.8,922674.72
JUL,4033,848,1429360,3249,0.0,248.0,0.0,0.0,132443.72,70672.32,0.0,0.0,0.0,41336.64,214404.0,487.35,528863.2,1916.91,990124.14
AGO,3535,51,1335294,64,0.0,0.0,465.0,549.0,116089.4,4250.34,12675.9,37974.33,0.0,0.0,200294.1,9.6,494058.78,37.76,865390.21
SET,3534,0,1247300,-1,0.0,0.0,466.0,600.0,116056.56,0.0,12703.16,41502.0,0.0,0.0,187095.0,-0.15,461501.0,-0.59,818856.98
OUT,3936,0,1287615,-2,0.0,0.0,64.0,600.0,129258.24,0.0,1744.64,41502.0,0.0,0.0,193142.25,-0.3,476417.55,-1.18,842063.2
NOV,4040,774,1372749,1831,0.0,174.0,0.0,0.0,132673.6,64505.16,0.0,0.0,0.0,29002.32,205912.35,274.65,507917.13,1080.29,941365.5
DEZ,4040,600,1394185,1253,0.0,0.0,0.0,0.0,132673.6,50004.0,0.0,0.0,0.0,0.0,209127.75,187.95,515848.45,739.27,908581.02
TOTAIS,4040,848,16495175,9691,,,,,,,,,,,,,,,10804833.799999999
