Mes,Posto,N_pontos_SIM2,Consumo_P_SIM2_kWh,Consumo_Q_SIM2_kVArh,DemandaMax_P_SIM2_kW,DemandaMax_Q_SIM2_kVAr,N_pontos_SIM3,Consumo_P_SIM3_kWh,Consumo_Q_SIM3_kVArh,DemandaMax_P_SIM3_kW,DemandaMax_Q_SIM3_kVAr,N_pontos_META
JANEIRO,FORA_PONTA,2712,1247986.03125,111081.57335,4601.09,531.024,2712,1325165.019,125246.9515,4613.6900000000005,545.45,2712
JANEIRO,PONTA,264,106519.01625,8881.22425,2189.518,323.368,264,55411.31075,12719.329025000001,1415.359,381.715,264
FEVEREIRO,FORA_PONTA,2448,1302918.6935,121155.239031,5293.83,548.232,2448,1371733.73275,133870.6116225,5306.81,562.591,2448
FEVEREIRO,PONTA,240,111067.2575,9884.754675,2497.443,360.838,240,64606.53225,13376.0681,1723.331,419.1470000000001,240
MARCO,FORA_PONTA,2736,1398718.94925,117092.46215,5424.81,479.288,2736,1468441.1675,130869.0346,5437.68,493.517,2736
MARCO,PONTA,240,125599.891,9179.0273,2821.215,246.9417,240,79136.89725,12670.348425,2046.954,305.283,240
ABRIL,FORA_PONTA,2640,1046336.75975,61263.5519619,3488.3900000000003,276.1418,2640,1115726.063,74713.145816425,3501.0800000000004,290.679,2640
ABRIL,PONTA,240,105623.26225,4871.96111,2105.641,223.8575,240,59157.62275,8359.192925,1331.265,282.0923,240
MAIO,FORA_PONTA,2724,1089969.021,48919.905416855,3452.44,318.556,2724,1163281.5095,62904.022827,3465.13,333.02700000000004,2724
MAIO,PONTA,252,115993.521,4187.1933913,2510.263,148.8718,252,67204.48525,7848.605675,1735.861,207.0329,252
JUNHO,FORA_PONTA,2640,1242724.09375,38102.155019485,4376.42,208.0672,2640,1311492.4094,51500.99246975,4389.08,222.427,2640
JUNHO,PONTA,240,125569.913,3151.4850875,2650.217,106.1559,240,79104.18975,6638.90035,1875.858,164.35340000000002,240
JULHO,FORA_PONTA,2700,1229188.7010000001,27148.2271470175,4607.84,195.1465,2700,1307905.488,41366.40003415,4620.5,209.5034,2700
JULHO,PONTA,276,127765.63075,2482.835064725,3175.17,134.29919999999998,276,74329.567,6491.634375,2400.795,192.5386,276
AGOSTO,FORA_PONTA,2724,1150062.316,31955.9060229875,3455.62,185.3492,2724,1223169.13575,45926.96690605,3468.31,199.84860000000003,2724
AGOSTO,PONTA,252,119110.506175,3766.06350575,2377.106,174.1023,252,70463.25213875,7416.5561225,1602.7019999999998,232.2409,252
SETEMBRO,FORA_PONTA,2616,1065787.183,41289.61118589175,3092.4700000000003,245.4364,2616,1140587.01675,54988.372284625,3105.37,260.0208,2616
SETEMBRO,PONTA,264,117526.443,4590.8948225,2085.462,145.6909,264,66414.30375,8426.48935,1311.061,203.8333,264
OUTUBRO,FORA_PONTA,2700,1096837.493225,57517.6741775,3897.04,357.192,2700,1175571.84765,71749.23357,3909.91,371.676,2700
OUTUBRO,PONTA,276,121921.60075,6324.1117525,2302.502,234.2899,276,68486.51225,10334.6778,1528.221,292.5149,276
NOVEMBRO,FORA_PONTA,2652,1195910.83625,76081.170921425,5363.5,442.332,2652,1262920.1965,89420.1582475,5376.51,456.661,2652
NOVEMBRO,PONTA,228,112115.74475,7458.345525,3100.21,313.14500000000004,228,67975.486,10773.90105,2326.02,371.562,228
DEZEMBRO,FORA_PONTA,2712,1210240.697,90455.0494375,5272.67,478.684,2712,1285383.21275,104504.1071,5285.55,493.222,2712
DEZEMBRO,PONTA,264,114506.35875,9707.184525,2926.615,342.048,264,63398.22025,13545.987675,2152.418,400.472,264
