MES,R$SIM2,R$SIM3,Economia_R$,Economia_%
JAN,1128292.66,1064360.61,63932.05,5.666
FEV,1195764.83,1132145.41,63619.42,5.32
MAR,1273832.45,1210682.45,63150.0,4.957
ABR,1015371.32,950824.29,64547.03,6.357
MAI,1051258.3,987045.42,64212.88,6.108
JUN,1144916.86,1080060.34,64856.52,5.665
JUL,1189511.26,1130796.42,58714.84,4.936
AGO,1082950.95,1018730.45,64220.5,5.93
SET,1031786.29,966628.37,65157.92,6.315
OUT,1058766.29,993921.38,64844.91,6.125
NOV,1163254.84,1123212.46,40042.38,3.442
DEZ,1154141.31,1090358.24,63783.07,5.526
TOTAIS,13489847.359999998,12748765.840000002,741081.52,5.493624206582573
