MES,R$SIM2,R$SIM26,Economia_R$,Economia_%
JAN,1128292.66,974520.49,153772.17,13.629
FEV,1195764.83,1009221.22,186543.61,15.6
MAR,1273832.45,1073610.47,200221.98,15.718
ABR,1015371.32,861617.67,153753.65,15.143
MAI,1051258.3,895927.21,155331.09,14.776
JUN,1144916.86,987192.67,157724.19,13.776
JUL,1189511.26,1043344.38,146166.88,12.288
AGO,1082950.95,927560.5,155390.45,14.349
SET,1031786.29,876591.33,155194.96,15.041
OUT,1058766.29,902015.96,156750.33,14.805
NOV,1163254.84,997776.3,165478.54,14.225
DEZ,1154141.31,969238.24,184903.07,16.021
TOTAIS,13489847.359999998,11518616.44,1971230.9200000002,14.612699961639898
