Descricao,Valor
kWh fornecido (EnergyMeter kWh),16286867.0
kWh da carga (Zone kWh),14890006.0
Zone losses (Zone Losses kWh),927255.0
Perdas na linha MT (Line Losses kWh),27298.0
Perdas nos trafos (Transformer Losses kWh),899959.0
Perdas em vazio ferro (No Load Losses kWh),844610.0
Perdas em carga cobre (Transformer - NoLoad) kWh,55349.0
